"","lang","nativeCountryArea","complexity","logpop2","lat","lon","missing","propPresent","complexityCentered"
"89","Ngada	Asia	-3	4.77815	-8.83	121.00	19	0.20833	-0.60000
Onge	Asia	-3	1.98227	10.75	92.42	17	0.29167	-0.42857
Pangasinan	Asia	-3	6.06617	15.92	120.33	17	0.29167	-0.42857
Punu	Asia	-3	3.98749	24.00	107.00	20	0.16667	-0.75000
Remo	Asia	-3	3.95424	18.00	82.00	13	0.45833	-0.27273
Sema	Asia	-3	5.12057	26.00	94.50	13	0.45833	-0.27273
Stieng	Asia	-3	3.78240	11.83	106.75	19	0.20833	-0.60000
Thakali	Asia	-3	3.80895	29.00	83.75	18	0.25000	-0.50000
Urdu	Asia	-3	7.78178	25.00	67.00	17	0.29167	-0.42857
Wambon	Asia	-3	3.47712	-5.50	140.42	14	0.41667	-0.30000
Amanab	Australia and Oceania	-3	3.64532	-3.58	141.25	18	0.25000	-0.50000
Anejom	Australia and Oceania	-3	2.77815	-20.20	169.80	13	0.45833	-0.27273
Awtuw	Australia and Oceania	-3	2.70415	-3.58	142.00	15	0.37500	-0.33333
Erromangan	Australia and Oceania	-3	3.13098	-18.83	169.17	15	0.37500	-0.33333
Futuna-Aniwa	Australia and Oceania	-3	2.77815	-19.53	170.22	17	0.29167	-0.42857
Gumawana	Australia and Oceania	-3	2.67117	-9.25	150.83	13	0.45833	-0.27273
Gumbaynggir	Australia and Oceania	-3	1.69897	-30.17	152.50	17	0.29167	-0.42857
Guugu Yimidhirr	Australia and Oceania	-3	1.69897	-15.00	144.83	16	0.33333	-0.37500
Halia	Australia and Oceania	-3	4.30103	-5.25	154.67	18	0.25000	-0.50000
Kugu Nganhcara	Australia and Oceania	-3	1.69897	-14.42	142.00	18	0.25000	-0.50000
Kyaka	Australia and Oceania	-3	4.18662	-5.55	144.08	19	0.20833	-0.60000
Loniu	Australia and Oceania	-3	2.66276	-2.07	147.33	16	0.33333	-0.37500
Mae	Australia and Oceania	-3	2.87506	-16.00	167.25	19	0.20833	-0.60000
Maisin	Australia and Oceania	-3	3.41697	-9.50	149.17	13	0.45833	-0.27273
Mono-Alu	Australia and Oceania	-3	3.52336	-7.05	155.75	16	0.33333	-0.37500
Motu	Australia and Oceania	-3	4.14613	-9.33	147.00	16	0.33333	-0.37500
Mwotlap	Australia and Oceania	-3	3.10551	-13.58	167.58	16	0.33333	-0.37500
Pitta Pitta	Australia and Oceania	-3	1.69897	-22.83	140.00	18	0.25000	-0.50000
Pohnpeian	Australia and Oceania	-3	4.46240	6.88	158.25	16	0.33333	-0.37500
Salt-Yui	Australia and Oceania	-3	3.81291	-6.28	145.03	14	0.41667	-0.30000
Selepet	Australia and Oceania	-3	3.84510	-6.17	147.17	15	0.37500	-0.33333
Sisiqa	Australia and Oceania	-3	3.72428	-7.00	156.83	19	0.20833	-0.60000
Tauya	Australia and Oceania	-3	2.54033	-5.75	145.33	13	0.45833	-0.27273
Uradhi	Australia and Oceania	-3	1.69897	-11.92	142.42	19	0.20833	-0.60000
Woleaian	Australia and Oceania	-3	3.21245	7.33	143.83	18	0.25000	-0.50000
Bashkir	Eurasia	-3	6.27216	53.00	58.00	15	0.37500	-0.33333
Chechen	Eurasia	-3	5.98028	43.25	45.83	13	0.45833	-0.27273
Chuvash	Eurasia	-3	6.26349	55.50	47.50	13	0.45833	-0.27273
Godoberi	Eurasia	-3	3.47712	42.67	46.08	14	0.41667	-0.30000
Kalmyk	Eurasia	-3	5.71475	44.00	83.00	14	0.41667	-0.30000
Khanty	Eurasia	-3	4.07918	65.00	65.00	15	0.37500	-0.33333
Koryak	Eurasia	-3	3.54407	61.00	167.00	17	0.29167	-0.42857
Mari (Meadow)	Eurasia	-3	5.72800	57.00	48.00	16	0.33333	-0.37500
Nganasan	Eurasia	-3	2.69897	71.00	93.00	16	0.33333	-0.37500
Udmurt	Eurasia	-3	5.75265	57.50	52.50	16	0.33333	-0.37500
Estonian	Europe	-3	6.03161	59.00	26.00	14	0.41667	-0.30000
Lithuanian	Europe	-3	6.49489	55.00	24.00	15	0.37500	-0.33333
Macedonian	Europe	-3	6.20364	41.67	21.75	19	0.20833	-0.60000
Portuguese	Europe	-3	8.24909	39.00	-8.00	14	0.41667	-0.30000
Slovene	Europe	-3	6.29771	46.00	15.00	17	0.29167	-0.42857
Bribri	North America	-3	4.04139	9.42	-83.00	15	0.37500	-0.33333
Mam	North America	-3	5.00000	15.00	-91.83	13	0.45833	-0.27273
Nez Perce	North America	-3	2.00000	46.00	-116.00	10	0.58333	-0.21429
Nisgha	North America	-3	2.84510	55.00	-130.00	18	0.25000	-0.50000
Paiute (Northern)	North America	-3	3.21245	42.00	-118.00	16	0.33333	-0.37500
Quileute	North America	-3	1.69897	47.92	-124.25	14	0.41667	-0.30000
Shuswap	North America	-3	2.69897	52.00	-120.00	14	0.41667	-0.30000
Wikchamni	North America	-3	1.89209	36.42	-119.08	17	0.29167	-0.42857
Wintu	North America	-3	1.69897	41.00	-122.50	16	0.33333	-0.37500
Campa (Axininca)	South America	-3	4.37566	-12.00	-74.00	13	0.45833	-0.27273
Chácobo	South America	-3	2.74036	-12.17	-66.75	12	0.50000	-0.25000
Cocama	South America	-3	3.31175	-5.00	-74.50	16	0.33333	-0.37500
Cubeo	South America	-3	3.78888	1.33	-70.50	14	0.41667	-0.30000
Ngäbere	South America	-3	5.12415	8.67	-82.00	14	0.41667	-0.30000
Qawasqar	South America	-3	1.69897	-49.00	-75.00	16	0.33333	-0.37500
Tacana	South America	-3	3.26031	-13.50	-68.00	17	0.29167	-0.42857
Waorani	South America	-3	3.21748	-1.00	-76.50	13	0.45833	-0.27273
Warekena	South America	-3	2.84819	1.50	-67.50	8	0.66667	-0.18750
Aari	Africa	-2	5.20101	6.00	36.58	18	0.25000	-0.33333
Akan	Africa	-2	6.91908	6.50	-1.25	14	0.41667	-0.20000
Akwa	Africa	-2	4.47712	10.08	6.33	21	0.12500	-0.66667
Angas	Africa	-2	5.60206	9.50	9.50	19	0.20833	-0.40000
Bagiro	Africa	-2	4.20412	4.33	20.58	19	0.20833	-0.40000
Bemba	Africa	-2	5.47097	-10.00	28.25	19	0.20833	-0.40000
Bilin	Africa	-2	4.84510	15.75	38.50	15	0.37500	-0.22222
Bini	Africa	-2	6.00000	6.42	5.83	21	0.12500	-0.66667
Burunge	Africa	-2	4.11394	-5.33	36.00	13	0.45833	-0.18182
Dabida	Africa	-2	5.30833	-4.00	38.67	20	0.16667	-0.50000
Dagaare	Africa	-2	5.84510	10.50	-2.67	16	0.33333	-0.25000
Day	Africa	-2	4.69824	8.75	17.83	21	0.12500	-0.66667
Dizi	Africa	-2	4.32377	6.17	36.50	17	0.29167	-0.28571
Doyayo	Africa	-2	4.25527	8.67	13.08	13	0.45833	-0.18182
Gbeya Bossangoa	Africa	-2	5.24551	6.67	17.50	17	0.29167	-0.28571
Goemai	Africa	-2	5.30103	8.67	9.75	19	0.20833	-0.40000
Gude	Africa	-2	4.98227	10.42	13.42	13	0.45833	-0.18182
Gula (in Central African Republic)	Africa	-2	4.01077	9.50	22.50	20	0.16667	-0.50000
Hamer	Africa	-2	4.63183	5.00	36.50	20	0.16667	-0.50000
Herero	Africa	-2	5.12385	-20.58	19.00	20	0.16667	-0.50000
Idoma	Africa	-2	5.77815	6.92	7.50	19	0.20833	-0.40000
Isekiri	Africa	-2	5.70757	5.67	5.50	21	0.12500	-0.66667
Izi	Africa	-2	5.77305	6.33	8.00	18	0.25000	-0.33333
Kete	Africa	-2	3.92428	-7.00	22.83	20	0.16667	-0.50000
Kinyarwanda	Africa	-2	6.86185	-2.00	30.00	20	0.16667	-0.50000
Koegu	Africa	-2	2.01284	7.00	36.08	19	0.20833	-0.40000
Koh (Lakka)	Africa	-2	4.17035	8.00	15.50	18	0.25000	-0.33333
Kresh	Africa	-2	4.20412	8.50	24.50	18	0.25000	-0.33333
Lozi	Africa	-2	5.75603	-17.83	26.00	19	0.20833	-0.40000
Lugbara	Africa	-2	6.01703	3.08	30.92	16	0.33333	-0.25000
Madi","Africa",-2,5.1719,3.25,31.5,18,0.25,-0.33333
"90","Mauritian Creole","Africa",-2,5.78104,-20.33,57.5,17,0.29167,-0.28571
"91","Mbum","Africa",-2,4.70842,7.75,13.17,20,0.16667,-0.5
"92","Miya","Africa",-2,4.47712,10.92,9.67,16,0.33333,-0.25
"93","Mofu-Gudur","Africa",-2,4.77815,10.5,14,21,0.125,-0.66667
"94","Mongo","Africa",-2,5.60206,0,21,20,0.16667,-0.5
"95","Ndebele (in South Africa)","Africa",-2,5.76861,-25.33,29,18,0.25,-0.33333
"96","Ndumu","Africa",-2,3.63397,-1.67,13.58,19,0.20833,-0.4
"97","Ngambay","Africa",-2,5.87506,8.67,16,16,0.33333,-0.25
"98","Noni","Africa",-2,4.39794,6.42,10.58,18,0.25,-0.33333
"99","Noon","Africa",-2,4.47458,14.83,-16.83,13,0.45833,-0.18182
"100","Nyamwezi","Africa",-2,6.07918,-5,33,19,0.20833,-0.4
"101","Oromo (Waata)","Africa",-2,3.69897,-3.33,39.83,20,0.16667,-0.5
"102","Qafar","Africa",-2,6.15817,12,42,21,0.125,-0.66667
"103","Shilluk","Africa",-2,5.24304,9.67,31.75,16,0.33333,-0.25
"104","Shona","Africa",-2,7.02956,-18,31,19,0.20833,-0.4
"105","Soninke","Africa",-2,6.04013,15,-10.5,19,0.20833,-0.4
"106","Susu","Africa",-2,6.01258,10,-13,20,0.16667,-0.5
"107","Temne","Africa",-2,6.07918,8.67,-13.08,16,0.33333,-0.25
"108","Tennet","Africa",-2,3.60206,4.42,32.5,18,0.25,-0.33333
"109","Tigrinya","Africa",-2,6.64835,14.5,38.5,20,0.16667,-0.5
"110","Turkana","Africa",-2,5.56249,3,35.5,12,0.5,-0.16667
"111","Uldeme","Africa",-2,4.02119,10.95,14.12,18,0.25,-0.33333
"112","Vai","Africa",-2,5.02119,6.92,-11.25,19,0.20833,-0.4
"113","Wolaytta","Africa",-2,6.0905,6.83,37.75,16,0.33333,-0.25
"114","Zande","Africa",-2,6.05767,4,26,15,0.375,-0.22222
"115","Agta (Central)","Asia",-2,2.89154,17.97,121.83,19,0.20833,-0.4
"116","Arabic (Gulf)","Asia",-2,6.36896,26,49,14,0.41667,-0.2
"117","Batak (Toba)","Asia",-2,6.30103,2.5,99,20,0.16667,-0.5
"118","Buli (in Indonesia)","Asia",-2,3.40209,1,128.5,21,0.125,-0.66667
"119","Chepang","Asia",-2,4.56593,27.67,84.75,15,0.375,-0.22222
"120","Chin (Siyin)","Asia",-2,4,23.83,94,19,0.20833,-0.4
"121","Chin (Tiddim)","Asia",-2,5.53668,23.33,93.67,19,0.20833,-0.4
"122","Crimean Tatar","Asia",-2,5.65929,45,34.08,17,0.29167,-0.28571
"123","Dumi","Asia",-2,1.69897,27.25,86.67,16,0.33333,-0.25
"124","Gondi","Asia",-2,6.29092,19,81,18,0.25,-0.33333
"125","Gujarati","Asia",-2,7.66376,23,72,18,0.25,-0.33333
"126","Javanese","Asia",-2,7.87799,-7,111,21,0.125,-0.66667
"127","Kapampangan","Asia",-2,6.27815,15.33,120.5,17,0.29167,-0.28571
"128","Karen (Bwe)","Asia",-2,4.1959,19.5,97,18,0.25,-0.33333
"129","Kati (in Afghanistan)","Asia",-2,4.27184,35.5,70,20,0.16667,-0.5
"130","Kazakh","Asia",-2,6.91269,50,70,20,0.16667,-0.5
"131","Kokborok","Asia",-2,5.89818,24.33,92.5,15,0.375,-0.22222
"132","Lamani","Asia",-2,6.45743,17,77,18,0.25,-0.33333
"133","Lotha","Asia",-2,4.90309,26.5,94.25,18,0.25,-0.33333
"134","Mangghuer","Asia",-2,5.18184,36,102,18,0.25,-0.33333
"135","Manobo (Western Bukidnon)","Asia",-2,4.27953,7.67,124.75,21,0.125,-0.66667
"136","Maru","Asia",-2,5.01494,23.5,98.5,20,0.16667,-0.5
"137","Mikir","Asia",-2,5.67943,26.33,93.5,17,0.29167,-0.28571
"138","Mising","Asia",-2,5.60206,28.5,94.83,18,0.25,-0.33333
"139","Mlabri (Minor)","Asia",-2,2.51055,18.5,101,18,0.25,-0.33333
"140","Naga (Zeme)","Asia",-2,4.48855,25.17,93.5,19,0.20833,-0.4
"141","Nias","Asia",-2,5.68124,1,97.75,17,0.29167,-0.28571
"142","Nimboran","Asia",-2,3.30103,-2.5,140.17,20,0.16667,-0.5
"143","Nishi","Asia",-2,5.41664,27.5,93.5,20,0.16667,-0.5
"144","Palaung","Asia",-2,5.42739,22.67,96.67,21,0.125,-0.66667
"145","Pashto","Asia",-2,6.89887,33,67,19,0.20833,-0.4
"146","Sawu","Asia",-2,5.04139,-11.5,121.92,17,0.29167,-0.28571
"147","Sedang","Asia",-2,5.00618,14.83,108,20,0.16667,-0.5
"148","Seediq","Asia",-2,3.67669,24.17,121.42,20,0.16667,-0.5
"149","Sindhi","Asia",-2,7.32964,26,69,21,0.125,-0.66667
"150","Tamagario","Asia",-2,3.54407,-6.42,139.25,21,0.125,-0.66667
"151","Tamang","Asia",-2,5.88832,28,85.25,18,0.25,-0.33333
"152","Tondano","Asia",-2,4.90309,1.25,125,19,0.20833,-0.4
"153","Ukrainian","Asia",-2,7.59596,49,33,17,0.29167,-0.28571
"154","West Makian","Asia",-2,4.07918,0.5,127.58,15,0.375,-0.22222
"155","Adzera","Australia and Oceania",-2,4.31545,-6.25,146.25,18,0.25,-0.33333
"156","Anggor","Australia and Oceania",-2,3.10243,-3.75,141.17,19,0.20833,-0.4
"157","Arosi","Australia and Oceania",-2,3.8293,-10.25,161.33,19,0.20833,-0.4
"158","Arrernte (Mparntwe)","Australia and Oceania",-2,3.33746,-24,136,16,0.33333,-0.25
"159","Au","Australia and Oceania",-2,3.90309,-3.58,142.08,16,0.33333,-0.25
"160","Bali-Vitu","Australia and Oceania",-2,4,-4.9,149.12,19,0.20833,-0.4
"161","Bilua","Australia and Oceania",-2,3.94151,-7.75,156.67,19,0.20833,-0.4
"162","Binandere","Australia and Oceania",-2,3.83897,-8.25,148,20,0.16667,-0.5
"163","Biri","Australia and Oceania",-2,1.69897,-20.5,146.5,18,0.25,-0.33333
"164","Broken","Australia and Oceania",-2,4.36922,-10.17,143,18,0.25,-0.33333
"165","Cèmuhî","Australia and Oceania",-2,3.31197,-20.83,165.17,19,0.20833,-0.4
"166","Dumu","Australia and Oceania",-2,3.42602,-2.67,141.3,16,0.33333,-0.25
"167","Futuna (East)","Australia and Oceania",-2,3.81954,-14.33,-178.17,21,0.125,-0.66667
"168","Golin","Australia and Oceania",-2,4.70846,-6.33,144.75,18,0.25,-0.33333
"169","Kairiru","Australia and Oceania",-2,3.54494,-3.33,143.58,18,0.25,-0.33333
"170","Kaliai-Kove","Australia and Oceania",-2,3.8293,-5.58,149.67,17,0.29167,-0.28571
"171","Kiwai","Australia and Oceania",-2,3.98677,-8,143.5,17,0.29167,-0.28571
"172","Kokota","Australia and Oceania",-2,2.72428,-8,159.13,19,0.20833,-0.4
"173","Kunimaipa","Australia and Oceania",-2,4.04139,-8,146.83,19,0.20833,-0.4
"174","Kuot","Australia and Oceania",-2,3.38021,-3.05,151.5,18,0.25,-0.33333
"175","Kwoma","Australia and Oceania",-2,3.47712,-4.17,142.75,18,0.25,-0.33333
"176","Longgu","Australia and Oceania",-2,3.27738,-9.75,160.67,19,0.20833,-0.4
"177","Mussau","Australia and Oceania",-2,3.69897,-1.45,149.62,21,0.125,-0.66667
"178","Namia","Australia and Oceania",-2,3.69408,-3.83,141.75,19,0.20833,-0.4
"179","Nasioi","Australia and Oceania",-2,4,-6.33,155.58,15,0.375,-0.22222
"180","Nyulnyul","Australia and Oceania",-2,1.69897,-17,122.83,14,0.41667,-0.2
"181","Ömie","Australia and Oceania",-2,2.90309,-9.05,148.08,20,0.16667,-0.5
"182","Paita","Australia and Oceania",-2,2.97589,-22.08,166.5,20,0.16667,-0.5
"183","Panyjima","Australia and Oceania",-2,1.69897,-22.83,118.42,20,0.16667,-0.5
"184","Poko-Rawo","Australia and Oceania",-2,2.80618,-2.83,141.58,19,0.20833,-0.4
"185","Rao","Australia and Oceania",-2,3.77815,-4.75,144.5,20,0.16667,-0.5
"186","Saliba","Australia and Oceania",-2,3.36173,-10.58,150.72,17,0.29167,-0.28571
"187","Siane","Australia and Oceania",-2,4.46207,-6.08,145.2,18,0.25,-0.33333
"188","Tawala","Australia and Oceania",-2,4.30103,-10.33,150.67,16,0.33333,-0.25
"189","Tungak","Australia and Oceania",-2,4.07918,-2.55,150.25,21,0.125,-0.66667
"190","Ungarinjin","Australia and Oceania",-2,1.91381,-16.33,126,14,0.41667,-0.2
"191","Ura","Australia and Oceania",-2,1.69897,-18.67,169.08,17,0.29167,-0.28571
"192","Waskia","Australia and Oceania",-2,4.20243,-4.5,146,15,0.375,-0.22222
"193","Wirangu","Australia and Oceania",-2,1.69897,-32,134,20,0.16667,-0.5
"194","Yessan-Mayo","Australia and Oceania",-2,3.29842,-4.17,142.58,16,0.33333,-0.25
"195","Yukulta","Australia and Oceania",-2,1.69897,-17.33,138.83,15,0.375,-0.22222
"196","Altai (Southern)","Eurasia",-2,4.30103,51,87,21,0.125,-0.66667
"197","Alutor","Eurasia",-2,2,61,165,20,0.16667,-0.5
"198","Avar","Eurasia",-2,5.77884,42.5,46.5,17,0.29167,-0.28571
"199","Itelmen","Eurasia",-2,1.77815,57,157.5,19,0.20833,-0.4
"200","Khakas","Eurasia",-2,4.81164,53,90,19,0.20833,-0.4
"201","Kurmanji","Eurasia",-2,6.95969,38,42,18,0.25,-0.33333
"202","Mansi","Eurasia",-2,3.50297,62,62,16,0.33333,-0.25
"203","Shor","Eurasia",-2,3.97525,53,88,21,0.125,-0.66667
"204","Tatar","Eurasia",-2,6.20683,56,49.5,17,0.29167,-0.28571
"205","Yakut","Eurasia",-2,5.55991,62,130,17,0.29167,-0.28571
"206","Breton","Europe",-2,5.7265,48,-3,16,0.33333,-0.25
"207","Catalan","Europe",-2,6.82395,41.75,2,21,0.125,-0.66667
"208","Czech","Europe",-2,7.06164,50,15,16,0.33333,-0.25
"209","Maltese","Europe",-2,5.57043,35.92,14.42,17,0.29167,-0.28571
"210","Romani (Ajia Varvara)","Europe",-2,5.71925,38,23.58,20,0.16667,-0.5
"211","Romani (Kalderash)","Europe",-2,6.17547,45,21,21,0.125,-0.66667
"212","Welsh","Europe",-2,5.72937,52,-3,11,0.54167,-0.15385
"213","Cakchiquel","North America",-2,4.63347,14.5,-91,18,0.25,-0.33333
"214","Chatino (Yaitepec)","North America",-2,4.07918,16.25,-97.25,20,0.16667,-0.5
"215","Chinantec (Comaltepec)","North America",-2,3.30103,17.58,-96.42,16,0.33333,-0.25
"216","Chinantec (Palantla)","North America",-2,4.07918,18.83,-96.75,17,0.29167,-0.28571
"217","Chinook (Lower)","North America",-2,1.69897,46.25,-123.5,16,0.33333,-0.25
"218","Comox","North America",-2,2.60206,50.17,-125,17,0.29167,-0.28571
"219","Cora","North America",-2,3.90309,22.17,-104.83,14,0.41667,-0.2
"220","Huastec","North America",-2,3.24279,22.08,-99.33,19,0.20833,-0.4
"221","Maidu (Northeast)","North America",-2,1.69897,40,-120.67,14,0.41667,-0.2
"222","Mixtec (Peñoles)","North America",-2,4.12766,17.08,-96.92,18,0.25,-0.33333
"223","Mixtec (Yosondúa)","North America",-2,3.69897,16.92,-97.58,20,0.16667,-0.5
"224","Mopan","North America",-2,4.0404,16.58,-88.67,20,0.16667,-0.5
"225","Pech","North America",-2,2.99739,15,-85.5,20,0.16667,-0.5
"226","Siuslaw","North America",-2,1.69897,44,-124,17,0.29167,-0.28571
"227","Takelma","North America",-2,1.69897,42.5,-123,10,0.58333,-0.14286
"228","Tarahumara (Western)","North America",-2,4.17609,27.5,-108,20,0.16667,-0.5
"229","Tlapanec","North America",-2,4.51851,17.08,-99,18,0.25,-0.33333
"230","Tlingit","North America",-2,2.92686,59,-135,9,0.625,-0.13333
"231","Tol","North America",-2,2.54407,14.67,-87,18,0.25,-0.33333
"232","Tümpisa Shoshone","North America",-2,1.69897,37,-117,15,0.375,-0.22222
"233","Wappo","North America",-2,1.69897,38.5,-122.5,13,0.45833,-0.18182
"234","Wiyot","North America",-2,1.69897,40.83,-124.17,17,0.29167,-0.28571
