language,WALS code,Family,Lat,Long,normalized.vowel.diversity,normalized.consonant.diversity,normalized.tone.diversity,normalized.phoneme.diversity,ISO,Popn,distance.from.origin
Tzeltal (Aguacatenango),tza,Mayan,16.42,-92.5,-0.4846364,0.12048546,-0.7687792,-0.377643382,tzh,90000,21112.25
UMbundu,umb,Niger-Congo,-12.5,15,-0.4846364,0.12048546,0.54663194,0.060826985,umb,4002880,1389.191
Una,una,Trans-New Guinea,-4.67,140,1.3900889,0.12048546,0.54663194,0.685735432,mtg,4000,16255.16
Ungarinjin,ung,Australian,-16.33,126,-0.4846364,0.12048546,-0.7687792,-0.377643382,ung,82,15848.19
Urub??-Kaapor,urk,Tupian,-2.33,-46.5,-0.4846364,-0.7169629,-0.7687792,-0.656792827,urb,500,26262.71
Usan,usa,Trans-New Guinea,-4.83,145.17,-0.4846364,-1.5544112,-0.7687792,-0.935942272,wnu,1400,16786.23
Uzbek (Northern),uzn,Altaic,40.67,66.5,-0.4846364,0.12048546,-0.7687792,-0.377643382,uzn,18795591,7555.523
Vietnamese,vie,Austro-Asiatic,10.5,106.5,1.3900889,0.12048546,1.86204304,1.124205799,vie,67439139,12186.95
Wahgi,wah,Trans-New Guinea,-5.83,144.72,-0.4846364,-0.7169629,0.54663194,-0.218322461,wgi whg,86000,16784.02
Wambaya,wam,Australian,-18.67,135.75,-1.2345266,-0.7169629,-0.7687792,-0.906756206,wmb,12,16742.62
Wari',war,Chapacura-Wanhan,-11.33,-65,-0.4846364,-0.7169629,-0.7687792,-0.656792827,pav,1833,25194.31
Wich??,wch,Matacoan,-22.5,-62.58,-0.4846364,0.12048546,-0.7687792,-0.377643382,mzh,15000,26398.5
Wichita,wic,Caddoan,33.33,-97.33,-1.2345266,0.12048546,-0.7687792,-0.627606761,wic,3,19216.67
Wintu,win,Penutian,41,-122.5,-0.4846364,0.9579338,-0.7687792,-0.098493936,wit,5,17363.24
Wolof,wlf,Niger-Congo,15.25,-16,1.3900889,0.9579338,-0.7687792,0.526414511,wol,3612560,3348.594
West Makian,wma,West Papuan,0.5,127.58,-0.4846364,-0.7169629,-0.7687792,-0.656792827,mqs,12000,14764.19
Wik Munkan,wmu,Australian,-13.92,141.75,-0.4846364,-1.5544112,-0.7687792,-0.935942272,wim,400,16926.06
Wantoat,wnt,Trans-New Guinea,-6.17,146.5,1.3900889,-1.5544112,-0.7687792,-0.311033824,wnc,8201,16979.56
Woisika,woi,Trans-New Guinea,-8.25,124.83,1.3900889,-0.7169629,-0.7687792,-0.031884379,woi,16522,15090.83
Wapishana,wps,Arawakan,2.67,-60,-1.2345266,-0.7169629,-0.7687792,-0.906756206,wap,7500,24664.26
Warao,wra,Warao,9.33,-61.67,-0.4846364,-1.5544112,-0.7687792,-0.935942272,wba,18000,24385.32
Wardaman,wrd,Australian,-15.5,131,-0.4846364,-0.7169629,-0.7687792,-0.656792827,wrr,50,16134.48
Waray (in Australia),wry,Australian,-13.17,131.25,-0.4846364,-0.7169629,-0.7687792,-0.656792827,wrz,4,15975.44
Wu (Changzhou),wuc,Sino-Tibetan,31.67,119.92,1.3900889,0.9579338,1.86204304,1.403355244,wuu,77175000,12371.61
Xiamen,xia,Sino-Tibetan,24.5,118.17,-0.4846364,0.12048546,1.86204304,0.499297351,nan,46227965,12570.5
!X???!,xoo,Khoisan,-24,21.5,-0.4846364,1.79538213,1.86204304,1.057596241,nmn,4200,2838.755
Yagua,yag,Peba-Yaguan,-3.5,-72,-0.4846364,-1.5544112,0.54663194,-0.497471906,yad,5692,24056.11
Yapese,yap,Austronesian,9.58,138.17,1.3900889,0.12048546,-0.7687792,0.247265066,yap,6592,15617.32
Yaqui,yaq,Uto-Aztecan,27.5,-110.25,-0.4846364,-0.7169629,0.54663194,-0.218322461,yaq,16406,19213.52
Yareba,yar,Yareban,-9.5,148.5,-0.4846364,-1.5544112,-0.7687792,-0.935942272,yrb,750,17331.48
Yawa,yaw,Yawa,-1.75,136.25,-0.4846364,-1.5544112,-0.7687792,-0.935942272,yva,6000,15741.91
Yay,yay,Tai-Kadai,22.42,104.75,-0.4846364,0.12048546,1.86204304,0.499297351,pcc,2049203,11431.97
Yucuna,ycn,Arawakan,-0.75,-71,-0.4846364,-0.7169629,-0.7687792,-0.656792827,ycn,1800,23850.17
Yucatec,yct,Mayan,20,-89,-0.4846364,0.12048546,0.54663194,0.060826985,yua,700000,20910.71
Yel??  Dnye,yel,Yele,-11.37,154.17,1.3900889,1.79538213,-0.7687792,0.805563957,yle,3750,17981.82
Yessan-Mayo,yes,Sepik,-4.17,142.58,-1.2345266,-0.7169629,-0.7687792,-0.906756206,yss,1988,16493.31
Yeyi,yey,Niger-Congo,-20,23.5,-0.4846364,1.79538213,0.54663194,0.619125875,yey,25200,2579.903
Yagaria,ygr,Trans-New Guinea,-6.33,145.42,-0.4846364,-1.5544112,0.54663194,-0.497471906,ygr,21116,16877.2
Yidiny,yid,Australian,-17,145.75,-1.2345266,-1.5544112,-0.7687792,-1.185905651,yii,12,17471.56
Yimas,yim,Lower Sepik-Ramu,-4.67,143.55,-1.2345266,-1.5544112,-0.7687792,-1.185905651,yee,300,16613.97
Yukaghir (Kolyma),yko,Yukaghir,65.75,150.83,-0.4846364,0.12048546,-0.7687792,-0.377643382,yux,10,12354.75
Yakut,ykt,Altaic,62,130,1.3900889,0.12048546,-0.7687792,0.247265066,sah,363000,11687.51
Yanyuwa,yny,Australian,-16.42,137.17,-1.2345266,0.9579338,-0.7687792,-0.348457316,jao,70,16692.95
Yoruba,yor,Niger-Congo,8,4.33,1.3900889,-0.7169629,1.86204304,0.845056353,yor,19327000,1176.774
Yukaghir (Tundra),ytu,Yukaghir,69,155,-0.4846364,0.12048546,-0.7687792,-0.377643382,ykg,30,12259.78
Yuchi,yuc,Yuchi,35.75,-86.75,-0.4846364,1.79538213,-0.7687792,0.180655509,yuc,10,19457.92
Yulu,yul,Nilo-Saharan,8.5,25.25,1.3900889,1.79538213,1.86204304,1.682504689,yul,7000,2053.629
Yurok,yur,Algic,41.33,-124,-0.4846364,0.9579338,-0.7687792,-0.098493936,yur,12,17268.06
Yupik (Siberian),yus,Eskimo-Aleut,65,-173,-1.2345266,0.9579338,-0.7687792,-0.348457316,ess,1350,13515.31
Zande,zan,Niger-Congo,4,26,1.3900889,0.12048546,0.54663194,0.685735432,zne,1142000,1923.022
Zoque (Copainal??),zqc,Mixe-Zoque,17,-93.25,-0.4846364,-0.7169629,-0.7687792,-0.656792827,zoc,10000,21020.07
Zulu,zul,Niger-Congo,-30,30,-0.4846364,0.9579338,0.54663194,0.33997643,zul,9563422,3858.811
Zuni,zun,Zuni,35.08,-108.83,-0.4846364,0.12048546,-0.7687792,-0.377643382,zun,9651,18529.96
