language_ethno,iso,stock,region,family_wals,genus_wals,l1_ ethnologue,l1_encarta,other_estimates,l1,l2_ethnologue,l2_others,l2,ratio,perc
"Naga, Angami",njm,Sino-Tibetan,Southeast Asia,ST,Kuki-Chin-Naga,125000 (2001),NA,NA,125000,"Trade language for about 30,000 Naga of other groups",NA,30000,0.24,0.193548387
Nayi Na•_Õo,noz,Omotic,Greater Abyssinia  ,AA,North Omotic,3660,NA,NA,3660,1876,NA,1876,0.512568306,0.338872832
Ndebele ,nbl,Benue-Congo,S Africa,NC ,,640000,NA,1.6 million (2001 Johnstone and Mandryk) ,1120000,1400000,NA,1400000,1.25,0.555555556
Nenets,yrk,Uralic,Inner Asia,Ura,Samyedic,41302,NA,NA,41302,NA,80% of the population use Nenets in daily life,8260,0.199990315,0.166659941
Neo-Aramaic (Assyrian) ,aii,Semitic ,Greater Mesopotamia,AA,Semitic,219330,NA,0.42 million (2006)[not in citation given] Up to 3.6 million speakers including second language speakers. Mostly those from Mesopotamia,319665,NA,3280335,3280335,10.26178969,0.911204167
Nepali ,nep,Indo-European,Indic,IE,,13875700,16056000,"Official in Nepal, India (Sikkim). Significant communities in Bhutan.approx. 30 million in Nepal, 16 million as native tongue and 15 million as a second language (2006) ",14965850,NA,15000000,15000000,1.002281862,0.500569815
Nigerian Pidgin,pcm,Creole,Nigeria,Cre,English based,30000000 (including L2),NA,2-3 million (Rosetta Panglossia),2500000,27500000,75000000(Rosetta Panglossia),51250000,20.5,0.953488372
Nisga'a (Nisgha),ncg,Tsimshianic,Alaska-Oregon,Penutian,,920,NA,NA,920,1500,NA,1500,1.630434783,0.619834711
Nuer Naath,nus,Nilotic,African Savannah  ,NS,Nilotic,740000,NA,NA,740000,1122,NA,1122,0.001516216,0.001513921
Nunggubuyu,nuy,Gunwingguan,N Australia,Aus,Nunggubuyu,360,,,360,400,,400,1.111111111,0.52631579
Nupe-Nupe-Tako,nup,Benue-Congo,African Savannah  ,NC,Nupoid,800000,NA,NA,800000,200000,NA,200000,0.25,0.2
Nyangatom,nnj,Nilotic,Greater Abyssinia  ,NS,Nilotic,14200,NA,NA,14200,123,NA,123,0.008661972,0.008587586
Nyanja (Chichewa),nya,Benue-Congo,S Africa,NC ,,8659700,NA,"9.3 million native (2001 Johnstone and Mandryk), 0.4 million second language (1999 WA), = 9.7 million total ",8979850,NA,400000,400000,0.044544174,0.042644605
"Oriya,Adivasi",ort,Indo-European,Indic,IE,,150000,NA,NA,150000,200000,NA,200000,1.333333333,0.571428571
"Oriya,Standard",ori,Indo-European,Indic,IE,,31732500,32300000,"31700000 L1 (Ethn.); Oriya is an official language of India and is spoken by over 35 million people all over the world. Indian Census:33,017,446 ",32339148,NA,2000000,2000000,0.061844548,0.058242563
"Oromo,All","gax,hae,gaz",Cushitic,S Africa,AA,Eastern Cushitic, NA,17200000,"National language of Ethiopia. Significant communities in Kenya;24 million native (31.6% of Ethiopia [1994 census]), ~2 million second language, = 26 million total (1998 census) ",20600000,NA,2000000,2000000,0.097087379,0.088495575
Oyda,oyd,Omotic,Greater Abyssinia  ,AA,North Omotic,16600,36946 (2007census),NA,36946,4040,NA,4040,0.243373494,0.098570244
Papiamentu,pap,Papiamentu  ,NE South America,Cre,Iberian based,320200,,,320200,20000,,20000,0.062460962,0.058788948
Pattani Chamba,lae,Sino-Tibetan,Indic,ST,,11000,NA,NA,11000,5000,NA,5000,0.454545455,0.3125
Persian,"pes, aiq,bhh,drw,deh,ipr,prs,haz,phv,tkg",Indo-European,Greater Mesopotamia,IE,Iranian,38991800,31300000,72000000(WorldLingo),47430600,,62000000(WorldLingo),62000000,1.307173006,0.566569132
Petats Majugan Hitau-Pororan,pex,Austronesian,N Coast New Guinea,An,,2000,NA,NA,2000,8000,NA,8000,4,0.8
Pitjantjatjara Pitjantjara,pjt,Pama-Nyungan,S Australia,Aus,,2120,NA,2500,2310,500,NA,500,0.216450216,0.177935943
Polish,pol,Indo-European,Europe,IE,Slavic,39990670,NA,NA,39990670,NA,"Nearly 97 percent of Poland's citizens (38,192,000, 2010 census) declare Polish as their mother language (Wiki)",1145760,0.028650683,0.027852684
Portuguese ,por,Indo-European,Europe,IE,Romance,177981570,150000000,"191 million including second language speakers (Ethnologue, 1999[27])/ 220 million native, 20 million second language = 240 million total[28] ",182670000,15000000,20000000,17500000,0.095801172,0.087425688
Qimant,ahg,Cushitic,Greater Abyssinia  ,AA,Central Cushitic,1650,NA,NA,1650,3181,NA,3181,1.927878788,0.658455806
Rawat,jnl,Sino-Tibetan,Indic,ST,Janggali,23670,,,23670,192,,192,0.008111534,0.008046266
"Romani, Balkan Gypsi",rmn,Indo-European,Europe,IE ,Indic,709570,NA,120000,709570,200000,NA,200000,0.281860845,0.219884121
Romanian ,ron,Indo-European,Europe,IE,Romance,23351080,26265555,"Official in Moldova, Romania, Serbia (Vojvodina). Significant communities in Greece, Hungary, Israel, Italy, Spain, Ukraine. 26 million native,[2] 4 million second language. The total is about 30 million.[75] ",24808318,NA,4000000,4000000,0.161236247,0.138848787
Roviana,rug,Austronesian,Oceania,An,Oceanic,9870,NA,NA,9870,16000,NA,16000,1.621073961,0.618477
Russian ,rus,Indo-European,Inner Asia,IE,Slavic,143553950,160000000,"277 million including second language speakers (Ethnologue, 1999[30])/ It is also one of the six official languages of the United Nations.[31] ",151776975,110000000,NA,110000000,0.724747611,0.420205024
Saho,ssy,Cushitic,Greater Abyssinia  ,AA,Eastern Cushitic,191000,NA,NA,191000,3378,NA,3378,0.017685864,0.01737851
Sango,sag,Adamawa-Ubangi,African Savannah  ,NC,Ubangi,404000,NA,NA,404000,1600000,NA,1600000,3.96039604,0.798403194
Sanskrit ,san,Indo-European,Indic,IE ,Indic,14135,NA,"15,000 native speakers (2001 Indian census)",14500,194433,NA,194433,13.40917241,0.930599762
Saraiki ,skr,Indo-European,Greater Mesopotamia,IE,Indic,13820000,19720000,"Official in Pakistan, India. Significant communities in People•_Õs Republic of China (Hong Kong), UK, Philippines Oman. 17 million native, 13 million second language, = 30 million total (2001 Johnstone and Mandryk) ",16770000,NA,13000000,13000000,0.775193798,0.436681223
Serbian ,srp,Indo-European,Europe,IE,Slavic,7020550,13000000,Up to 11 million more with Serbian as Second Language - Total 24 million ,10010275,NA,11000000,11000000,1.09887091,0.523553357
Shekkacho,moy,Omotic,Greater Abyssinia  ,AA,South Omotic,54900,NA,NA,54900,3476,NA,3476,0.063315118,0.059545019
Sheko Shak,she,Omotic,Greater Abyssinia  ,AA,North Omotic,40000,NA,NA,40000,4920,NA,4920,0.123,0.10952805
Shona ,sna,Benue-Congo,S Africa,NC ,,10759200,14000000,"National language of Zimbabwe. Significant communities in Botswana, Mozambique. 15 million native, 1.8 million second language, = 16•_Ð17 million total, including Ndau, Manyika (2000 A. Chebanne) ",12379600,NA,1800000,1800000,0.145400498,0.126942932
Sidamo ,sid,Cushitic,Greater Abyssinia  ,AA,Eastern Cushitic,2900000,NA,"1.9 million native, 100,000 second language, = 2.0 million total (1998 census) ",2400000,101340,100000,100670,0.041945833,0.040257211
Sindhi ,snd,Indo-European,Indic,IE,,21382120,19720000,"Official in Pakistan, India. Significant communities in People•_Õs Republic of China (Hong Kong), UK, Philippines Oman. 17 million native, 13 million second language, = 30 million total (2001 Johnstone and Mandryk) ",20551060,NA,13000000,13000000,0.632570777,0.387469129
Sinhalese ,sin,Indo-European,Indic,IE,Indic,15568750,15600000,"Official in Sri Lanka. Significant communities in United Arab Emirates, 13 million native, 2.6 million second language, = 15.6 million total (1993) ",15584375,2000000,2600000,2300000,0.147583718,0.128603879
Somali,som,Cushitic,Greater Abyssinia  ,AA,Eastern Cushitic,13871700,NA,NA,13871700,NA,500000,500000,0.036044609,0.034790595
Spanish ,spa,Indo-European,Europe,IE,Romance,328518810,358000000,"417 million including second-language speakers (Ethnologue 1999).[8]/ More than 500 million, as of 2009[9]/ It is also one of the six official languages of the United Nations. ",343259405,60000000,150000000,105000000,0.305891109,0.234239369
Sranan Tongo ,srn,Sranan,NE South America,Cre ,English based,126400,NA,"~400,000",126400,300000,NA,300000,2.373417722,0.703564728
"Swahili, Congo",swc,Benue-Congo,S Africa,NC ,Bantoid,1000,NA,NA,1000,9100000,NA,9100000,9100,0.999890122
"Swahili, Tanzania",swh,Benue-Congo,S Africa,NC ,Bantoid,787630,NA,"~5 million native, ~80 million second language ",2893815,30000000,80000000,55000000,19.00605256,0.950015127
Sylheti Bengali of Cachar,syl,Indo-European,Indic,IE,,7000000,NA,NA,7000000,1500000,NA,1500000,0.214285714,0.176470588
Tagalog(including Filipino),tgl,Austronesian ,Oceania,An ,Meso-Philippine,23853200,17000000,"Official in Philippines (in the form of Filipino). Significant communities in Australia, Canada, People•_Õs Republic of China (Hong Kong), Japan, Korea, Qatar, Saudi Arabia, United Arab Emirates, United States (California, Guam, Hawaii, Northern Mariana Islands).~49 million native[citation needed], ~51 million second language = ~100 million total ",20426600,NA,51000000,51000000,2.496744441,0.714019707
"Tamang, All","taj,tge,tmk,tsf,tdg",Sino-Tibetan,Indic,ST,,1249980,NA,1.3 million ,1249980,23645,NA,23645,0.018916303,0.018565119
Tamil,tam,Dravidian ,Indic,Dra,Southern Dravidian,65675200,NA,68000000(WorldLingo),66837600,8000000,9000000 (WorldLingo),8500000,0.127173926,0.112825468
Telugu Andhra,tel,Dravidian ,Indic,Dra ,South Central Dravidian,69800000,NA,"Official Language in the Indian state Of Andhra Pradesh. Also, significant communities in other parts of India, the United States, UK, Australia, South Africa, Canada, New Zealand, Fiji, Malaysia, Singapore, Mauritius, the United Arab Emirates & Bahrain. 74,002,856 (2001 census)[38] ",71901428,5000000,NA,5000000,0.069539648,0.065018299
Temne ,tem,Atlantic,African Savannah  ,NC,Southern Atlantic,1230000,NA,"~1.2 million native, 200,000 second language, = ~1.4 million total (1989 J. Kaiser) ",1230000,240000,200000,220000,0.178861789,0.151724138
Ternate,tft,West Papuan,Oceania,WP,North Halmaheran,42000,NA,NA,42000,20000,NA,20000,0.476190476,0.322580645
Thai ,tha,Tai-Kadai,Southeast Asia,TK ,Kam-Tai,20362390,46100000,"46300000 (Ethn.old)Encarta includes Northern, Northeastern and Southern Thai as well as Central whereas ethnologue Thai is just Central Thai; ~31 million native (1983 SIL, 1990 Diller, 2000 WCD) (dated data), = ~60 million first and second language (2001 A. Diller). Includes Southern Thai, Northern Thai/Western Lao, but not Shan, Isan, or Lao. ",33231195,40000000,29000000,34500000,1.038181143,0.509366474
Thakali Panchgaunle,ths,Sino-Tibetan,Indic,ST,,6440,NA,NA,6440,1056,NA,1056,0.163975155,0.140875133
Tidore,tvo,West Papuan,Oceania,WP,North Halmaheran,26000,NA,NA,26000,20000,NA,20000,0.769230769,0.434782609
Tigrinya ,tir,Semitic ,Greater Abyssinia  ,AA,Semitic,5791710,NA,"4.5 million in Ethiopia (6% of population (1994 census)), ~2.25 million in Eritrea (50% of population (CIA)), = 6.75 million native, 146,934 as second language (1994 census), = 6.9 million total ",5791710,NA,146934,146934,0.025369709,0.024742012
Tiwi,tiw,Tiwi,N Australia,Aus,,0,NA,NA,0,1830,NA,1830,1830,1
Tok Pisin (Melanesian English),tpi,Tok Pisin ,S New Guinea,Cre,English based,122000,NA,NA,122000,4000000,NA,4000000,32.78688525,0.970402717
Tsamai Bago,tsb,Cushitic,Greater Abyssinia  ,AA,Eastern Cushitic,8620,NA,NA,8620,1200,NA,1200,0.139211137,0.122199593
Tswana ,tsn,Benue-Congo,S Africa,NC ,,4521700,NA,"4.4 million native, 200,000 second language, = 4.6 million total (1993 Johnstone) (dated data) ",4460850,150000,200000,175000,0.039230192,0.03774928
Turkish,tur,Turkic,Greater Mesopotamia,Alt,Turkic,50750120,NA,"74000000 (European Commission (2006). ""Special Eurobarometer 243: Europeans and their Languages (Survey)"")",62375060,NA,"7780400-9000000 (European Commission (2006). ""Special Eurobarometer 243: Europeans and their Languages (Survey)""). UCLA Language Materials: 90% (77,804,122 ;2010 census)of the population speak Turkish as mother tongue. 15000000 L2 (WorldLingo)",10593467,0.169834974,0.145178578
Urdu,urd,Indo-European,Indic,IE,Indic,60586800,NA,NA,60586800,43413200,NA,43413200,0.716545518,0.417434615
Vietnamese ,vie,Austroasiatic ,Southeast Asia,AuA ,Viet-Muong,68634000,60000000,"70 million native, perhaps up to 16 million second language, = ~86 million total ",64317000,NA,16000000,16000000,0.248767822,0.199210628
Welsh,cym,Indo-European,Europe,IE,Celtic,NA,NA,317000(census 2004-2006),317000,NA,271000,271000,0.85488959,0.460884354
Wik-Mungkan,wim,Pama-Nyungan,N Australia,Aus,Pama-Nyungan,840,NA,NA,840,600,NA,600,0.714285714,0.416666667
Wolaytta (Welamo),wal,Omotic,Greater Abyssinia  ,AA,North Omotic,1230000,NA,NA,1230000,89801,NA,89801,0.073008943,0.068041318
Wolof,wol,Atlantic,African Savannah  ,NC,Northern Atlantic,3976500,NA,NA,3976500,NA,"Is used by about 80% of the population of Senegal (9967215; census 2002) as a second language (Peter K. Austin, One thousand Languages 2008)",7973772,2.005223689,0.667246068
Worora Worrorra,unp,Wororan,N Australia,Aus,,20,NA,NA,20,150,NA,150,7.5,0.882352941
Xamtanga,xan,Cushitic,Greater Abyssinia  ,AA,Central Cushitic,143000,NA,NA,143000,11026,NA,11026,0.077104895,0.071585317
Yoruba,yor,Niger-Congo,African Savannah  ,NC,Defoid,19380800,NA,NA,19380800,2000000,NA,2000000,0.103194915,0.093541869
Zulu ,zul,Benue-Congo ,S Africa,NC,Bantoid,9980000,NA,"9.6 million native, ~16 million second language, = ~25 million total (1996 census) ",9790000,15700000,16000000,15850000,1.618998979,0.618174727
