language,genus_pk,WALS,ISO,latitude,longitude,macroarea,name,pk
greekcypriot,186,gcy,ell,34.75,33,Eurasia,Greek (Cypriot),88
greek,186,grk,ell,39,22,Eurasia,Greek (Modern),2540
greeksignlanguage,330,gsl,gss,38.5,22,Eurasia,Greek Sign Language,320
greenlandiceast,158,gre,kal,65,-40,Eurasia,Greenlandic (East),534
greenlandicsouth,158,gso,kal,60,-44,Eurasia,Greenlandic (South),321
greenlandicwest,158,grw,kal,64,-51,Eurasia,Greenlandic (West),2519
guadeloupecreole,331,gdl,gcf,16.25,-61.5,North America,Guadeloupe Creole,89
guahibo,164,ghb,guh,5,-69,South America,Guahibo,1454
guajajara,457,gjj,gub,-5,-46,South America,Guajajara,1797
guambiano,106,gmb,gum,2.5,-76.66666667,South America,Guambiano,1505
guana,248,gna,gva,-22,-58,South America,Guana,322
guanano,452,gno,gvc,0.833333333,-69.5,South America,Guanano,535
guaque,119,guq,,1,-72.08333333,South America,Guaque,90
guarani,457,gua,gug,-26,-56,South America,Guaraní_,2492
guarijio,479,grj,var,27.75,-108.6666667,North America,Guarijí_o,1755
guato,241,gto,gta,-17,-58,South America,Guatí_,1234
guayabero,164,gyb,guo,2.833333333,-72,South America,Guayabero,323
gude,5,gud,gde,10.41666667,13.41666667,Africa,Gude,2076
guduf,5,gdf,gdf,11.23333333,13.8,Africa,Guduf,536
guere,277,gue,"gxx, wec",6.666666667,-7.75,Africa,Guere,91
gugada,559,gug,ktd,-30,134,Australia,Gugada,1594
gugadj,560,ggd,ggd,-18.5,140.5,Australia,Gugadj,2561
guhusamane,442,guh,ghs,-8,147.3333333,Papunesia,Guhu-Samane,1170
guianesefrenchcreole,331,gfr,gcr,5,-53,South America,Guianese French Creole,92
guineabissaucrioulo,331,gbc,pov,12,-15,Africa,Guinea Bissau Crioulo,93
gujarati,182,guj,guj,23,72,Eurasia,Gujarati,1931
gulaincentralafricanrepublic,305,gul,glu,9.5,22.5,Africa,Gula (in Central African Republic),1682
gulairo,279,gir,glj,10.25,19.41666667,Africa,Gula Iro,324
gumatj,559,gmt,gnn,-12.5,135.5,Australia,Gumatj,94
gumawana,87,gmw,gvs,-9.25,150.8333333,Papunesia,Gumawana,2041
gumbaynggir,557,gum,kgs,-30.16666667,152.5,Australia,Gumbaynggir,2110
gumuz,321,gmz,guk,12.5,35.83333333,Africa,Gumuz,1867
gunbalang,44,gnb,wlg,-12,134,Australia,Gunbalang,1506
gungbe,275,guw,guw,6.5,2.5,Africa,Gungbe,2590
gunin,29,gnn,gww,-14.25,126.6666667,Australia,Gunin,1392
gunu,274,gun,yas,4.583333333,11.25,Africa,Gunu,681
gununakune,138,gku,pue,-41,-67,South America,Gí_ní_na Kí_ne,1595
gunya,560,gny,gyy,-26.5,146.5,Australia,Gunya,537
gupapuyngu,559,guf,guf,-12,136,Australia,Gupapuyngu,2562
gurenggureng,557,ggu,gnr,-25.25,151,Australia,Gureng Gureng,1455
gurenne,290,grn,gur,10.83333333,-0.916666667,Africa,Gurenne,874
gurindji,559,gji,gue,-17.66666667,130.6666667,Australia,Gurindji,325
gurma,290,grm,gux,12.25,1,Africa,Gurma,326
gurmatogo,290,gut,gux,10.75,0.666666667,Africa,Gurma (Togo),95
guro,273,gro,goa,7,-6,Africa,Guro,96
gurrgoni,31,grg,gge,-12.25,134.4166667,Australia,Gurr-goni,1393
gurung,389,gur,"ggn, gvr",28.33333333,84.33333333,Eurasia,Gurung,1831
gusii,274,gus,guz,-0.75,34.83333333,Africa,Gusii,97
gutob,66,gdb,gbj,19,83.66666667,Eurasia,Gutob,795
guuguyimidhirr,560,guu,kky,-15,144.8333333,Australia,Guugu Yimidhirr,2237
gwari,278,gwa,gbr,9.5,7,Africa,Gwari,2111
gworok,283,gwo,kcg,9.916666667,8.166666667,Africa,Gworok,1114
gyarongcogtse,390,gyc,jya,31.5,102,Eurasia,Gyarong (Cogtse),2622
hadza,166,had,hts,-3.75,35.16666667,Africa,Hadza,1235
haida,167,hai,"hax, hdn",53,-132,North America,Haida,2396
haidanorthern,167,hno,hdn,54,-132.5,North America,Haida (Northern),682
haisla,482,hsl,has,54,-128.75,North America,Haisla,98
haitiancreole,331,hcr,hat,19,-72.5,North America,Haitian Creole,984
hakka,375,hak,hak,25,116,Eurasia,Hakka,1832
halang,63,hln,hal,14.5,107.5,Eurasia,Halang,538
halbi,182,hlb,hlb,21,81,Eurasia,Halbi,683
halia,87,hal,hla,-5.25,154.6666667,Papunesia,Halia,1798
halkomelemisland,360,hli,hur,49.2,-123,North America,Halkomelem (Island),2554
halkomelemupriver,360,hlu,hur,49.25,-121.9166667,North America,Halkomelem (Upriver),2555
hamer,9,hmr,amf,5,36.5,Africa,Hamer,1799
hamtai,449,ham,hmt,-7.5,146.25,Papunesia,Hamtai,2334
hangahundi,368,hhu,wos,-3.833333333,142.9166667,Papunesia,Hanga Hundi,1306
hani,380,han,hni,23,103,Eurasia,Hani,1115
hanunoo,513,hnn,hnn,12.33333333,121.25,Papunesia,Hanuní_o,797
harari,10,hrr,har,9.25,42.16666667,Africa,Harari,99
harsusi,10,hrs,hss,20,56.5,Eurasia,Harsusi,327
haruai,461,har,tmd,-5.083333333,144.1666667,Papunesia,Haruai,539
hatam,495,hat,had,-1,134,Papunesia,Hatam,2293
hausa,6,hau,hau,12,7,Africa,Hausa,2531
havasupai,170,hav,yuf,35.75,-112.5,North America,Havasupai,100
hawaiian,87,haw,haw,19.58333333,-155.5,Papunesia,Hawaiian,2350
hawaiiancreole,331,hwc,hwc,21.5,-158,North America,Hawaiian Creole,798
hawrami,183,hwr,hac,35.75,45.5,Eurasia,Hawrami,875
haya,274,hya,hay,-2,31.5,Africa,Haya,1596
hayu,512,hay,vay,27.25,86,Eurasia,Hayu,2022
hdi,5,hdi,xed,11.86666667,13.71666667,Africa,Hdi,876
hebrew,10,heb,heb,31.5,34.83333333,Eurasia,hebrew (merged),3747
hehe,274,heh,heh,-8,36,Africa,Hehe,1116
heiltsuk,482,hei,hei,52,-127.5,North America,Heiltsuk,1394
hemba,274,hem,hem,-6.25,27.16666667,Africa,Hemba,1070
herero,274,her,her,-20.58333333,19,Africa,Herero,799
hianacoto,119,hia,cbd,0.833333333,-71,South America,Hianacoto,101
hidatsa,391,hid,hid,47,-102.5,North America,Hidatsa,1597
hiligaynon,513,hil,hil,10.25,123,Papunesia,Hiligaynon,1550
hindi,182,hin,hin,25,77,Eurasia,Hindi,2523
hinukh,269,hnk,gin,42.16666667,46,Eurasia,Hinuq,102
hixkaryana,119,hix,hix,-1,-59,South America,Hixkaryana,2520
hlaibaoding,406,lic,lic,19,109.5,Eurasia,Hlai (Baoding),2627
hmar,386,hma,hmr,24.16666667,93,Eurasia,Hmar,1640
hmongdaw,169,hmd,mww,26,105,Eurasia,Hmong Daw,877
hmongnjua,169,hmo,"cqd, hnj",28,105,Eurasia,Hmong Njua,2445
ho,66,ho,hoc,22,86,Eurasia,Ho,1598
hoan,213,huc,huc,-25.5,25,Africa,=|Hoan,2671
hoava,87,hoa,hoa,-8.083333333,157.5,Papunesia,Hoava,684
hokkien,375,hok,nan,25,118,Eurasia,Hokkien,685
holoholo,274,hol,hoo,-5.166666667,29.91666667,Africa,Holoholo,1071
hongkongsignlanguage,330,hks,,22.5,114,Eurasia,Hong Kong Sign Language,328
hopi,473,hop,hop,36,-110,North America,Hopi,2238
hre,63,hre,hre,14.66666667,108.6666667,Eurasia,Hre,103
hua,430,hua,ygr,-6.333333333,145.3333333,Papunesia,Hua,2151
hualapai,170,hlp,yuf,35.5,-113.75,North America,Hualapai,1719
huambisa,197,hmb,hub,-4,-78,South America,Huambisa,329
huastec,250,htc,hsf,22.08333333,-99.33333333,North America,Huastec,2261
huavesanmateodelmar,178,hve,huv,16.21666667,-95,North America,Huave (San Mateo del Mar),2283
huichol,471,hui,hch,22,-104,North America,Huichol,1800
huitoto,180,htt,hto,-1,-74,South America,Huitoto,686
huitotominica,180,hmi,hto,-0.333333333,-74,South America,Huitoto (Minica),1996
huitotomuinane,180,hmu,hux,-2.416666667,-71,South America,Huitoto (Muinane),1117
huitotomurui,180,hum,huu,-1,-73.5,South America,Huitoto (Murui),2094
hunde,274,hnd,hke,-1.166666667,28.83333333,Africa,Hunde,1720
hungarian,464,hun,hun,47,20,Eurasia,Hungarian,2544
hunzib,269,hzb,huz,42.16666667,46.25,Eurasia,Hunzib,2463
hup,261,hpd,jup,0.166666667,-69.25,South America,Hup,1721
hupa,262,hup,hup,41.08333333,-123.6666667,North America,Hupa,2217
hyow,386,hyo,csh,22.08333333,92.41666667,Eurasia,Hyow,104
iaai,87,iaa,iai,-20.41666667,166.5833333,Papunesia,Iaai,2319
iatmul,368,iat,ian,-4.25,143.25,Papunesia,Iatmul,687
iau,228,iau,tmu,-3.166666667,137.5,Papunesia,Iau,1551
iban,519,iba,iba,2,112,Papunesia,Iban,2152
ibanag,514,ibn,ibg,17.5,121.6666667,Papunesia,Ibanag,105
ibibio,293,ibi,ibb,5.25,7.833333333,Africa,Ibibio,106
icelandic,181,ice,isl,65,-17,Eurasia,Icelandic,2329
icelandicsignlanguage,330,ics,icl,65,-18,Eurasia,Icelandic Sign Language,330
idoma,289,ido,idu,6.916666667,7.5,Africa,Idoma,1171
idu,376,idu,clk,29.33333333,95.83333333,Eurasia,Idu,1172
iduna,87,idn,viv,-9.333333333,150.25,Papunesia,Iduna,1599
ifiramele,87,mxe,mxe,-17.75,168.25,Papunesia,Ifira-Mele,2640
ifugaobatad,514,ifu,ifb,16.83333333,121.0833333,Papunesia,Ifugao (Batad),1801
ifumu,274,ifm,ifm,-3.666666667,15.33333333,Africa,Ifumu,800
igbo,272,igb,ibo,6,7.333333333,Africa,Igbo,2410
igede,289,ige,ige,7,8.166666667,Africa,Igede,1353
ignaciano,535,ign,ign,-15.16666667,-65.41666667,South America,Ignaciano,1868
iha,488,iha,ihp,-2.916666667,132.25,Papunesia,Iha,878
ijokolokuma,288,ijo,ijc,4.916666667,5.666666667,Africa,Ijo (Kolokuma),2300
ik,316,ik,ikx,3.75,34.16666667,Africa,Ik,2262
ika,130,ika,arh,10.66666667,-73.75,South America,Ika,2431
ila,274,ila,ilb,-15.58333333,26.5,Africa,Ila,1600
illinois,17,ill,mia,40,-90,North America,Illinois,331
ilocano,514,ilo,ilo,16,121,Papunesia,Ilocano,1641
imonda,110,imo,imn,-3.333333333,141.1666667,Papunesia,Imonda,2475
inanwatan,247,ina,szp,-2.083333333,132.0833333,Papunesia,Inanwatan,332
indonesian,519,ind,ind,0,106,Papunesia,Indonesian,2545
indonesianjakarta,519,inj,ind,-6.166666667,106.75,Papunesia,Indonesian (Jakarta),109
indonesianpapuan,519,iir,pmy,-2.5,140.6666667,Papunesia,Indonesian (Papuan),108
indopakistanisignlanguageindiandialects,330,ipi,ins,24,80,Eurasia,Indo-Pakistani Sign Language (Indian dialects),333
indopakistanisignlanguagekarachidialect,330,ipk,pks,28,68,Eurasia,Indo-Pakistani Sign Language (Karachi dialect),107
inga,356,iga,inb,1,-77,South America,Inga,801
ingessana,298,igs,tbi,11.5,34,Africa,Ingessana,1956
ingush,268,ing,inh,43.16666667,45.08333333,Eurasia,Ingush,2464
innamincka,558,inn,ynd,-27.75,140.75,Australia,Innamincka,2658
internationalsign,330,isl,,40,-170,North America,International Sign,110
inuktitutquebeclabrador,158,iql,ike,62,-73,North America,Inuktitut (Quebec-Labrador),688
inuktitutrankininlet,158,inr,ikt,63,-92,North America,Inuktitut (Rankin Inlet),334
inuktitutsalluit,158,ins,ike,62,-76,North America,Inuktitut (Salluit),689
inupiaq,158,inu,esi,67,-161,North America,Ií±upiaq,540
iquito,509,iqu,iqu,-3.25,-74,South America,Iquito,1894
iranxe,529,irx,irn,-13,-58,South America,Iranxe,1683
iraqw,1,irq,irk,-4,35.5,Africa,Iraqw,2453
irarutu,79,irr,irh,-3,133.5,Papunesia,Irarutu,2077
irish,187,iri,gle,53,-8,Eurasia,Irish,2420
irishdonegal,187,ird,gle,55,-8,Eurasia,Irish (Donegal),1237
irishmunster,187,irm,gle,52.5,-9,Eurasia,Irish (Munster),541
irishsignlanguage,330,irs,isg,53.5,-7.5,Eurasia,Irish Sign Language,335
isaka,395,isa,ksi,-2.833333333,141.2833333,Papunesia,I'saka,1395
isekiri,294,ise,its,5.666666667,5.5,Africa,Isekiri,690
ishkashmi,183,ish,sgl,37,72,Eurasia,Ishkashmi,111
isirawa,224,isi,srl,-1.833333333,138.5,Papunesia,Isirawa,542
isnag,514,isn,isd,18.25,121,Papunesia,Isnag,112
isoko,295,iso,iso,5.5,6.25,Africa,Isoko,1238
israelisignlanguage,330,iss,isr,32,34.83333333,Eurasia,Israeli Sign Language,336
italian,184,ita,ita,43,12,Eurasia,Italian,2351
italianbologna,184,itb,eml,44.5,11.33333333,Eurasia,Italian (Bologna),113
italianfiorentino,184,ifi,ita,43.75,11.25,Eurasia,Italian (Fiorentino),114
italiangenoa,184,itg,lij,44.41666667,8.95,Eurasia,Italian (Genoa),115
italiannapolitanian,184,itn,nap,40.91666667,14.25,Eurasia,Italian (Napolitanian),116
italianturinese,184,itu,pms,45,7.666666667,Eurasia,Italian (Turinese),117
itawis,514,itw,itv,17.75,121.5,Papunesia,Itawis,337
itelmen,140,ite,itl,57,157.5,Eurasia,Itelmen,2218
itonama,193,ito,ito,-12.83333333,-64.33333333,South America,Itonama,1895
itzaj,250,itz,itz,17,-89.83333333,North America,Itzaj,1307
ivatan,516,iva,ivv,20.5,122,Papunesia,Ivatan,118
ivatansouthern,516,ivs,ivv,20.33333333,121.8333333,Papunesia,Ivatan (Southern),1239
iwaidja,38,iwa,ibd,-11.5,132.6666667,Australia,Iwaidja,1507
iwam,367,iwm,iwm,-4.333333333,142,Papunesia,Iwam,1354
iwoyo,274,kwy,kwy,-5.5,12.25,Africa,Iwoyo,2596
ixcatec,339,ixc,ixc,17.83333333,-97.16666667,North America,Ixcatec,338
ixil,250,ixi,"ixi, ixl",15.5,-91,North America,Ixil,1173
izhor,465,izh,izh,59,29,Eurasia,Izhor,119
izi,272,izi,izi,6.333333333,8,Africa,Izi,1833
jabem,87,jab,jae,-6.583333333,147.7833333,Papunesia,JabíÈm,2023
jabuti,194,jbt,jbt,-12.25,-62.25,South America,Jabutí_,1072
jad,389,jad,bod,30.83333333,79,Eurasia,Jad,927
jahai,62,jah,jhi,5.75,101.5,Eurasia,Jahai,339
jakaltek,250,jak,"jac, jai",15.66666667,-91.66666667,North America,Jakaltek,2487
jamaicancreole,331,jcr,jam,18.16666667,-77.25,North America,Jamaican Creole,120
jamamadi,24,jmm,jaa,-7.5,-67,South America,Jamamadi,543
jaminjung,39,jam,djd,-15.08333333,130.5,Australia,Jaminjung,1684
jamsay,296,jms,djm,14.41666667,-2.5,Africa,Jamsay,2581
japanese,195,jpn,jpn,37,140,Eurasia,Japanese,2542
japreria,119,jpr,jru,10.5,-73,South America,Japreria,1240
jaqaru,102,jaq,jqr,-13,-76,South America,Jaqaru,2320
jarawainandamans,399,jrw,anq,12,92.58333333,Eurasia,Jarawa (in Andamans),879
jarawainnigeria,274,jar,jar,9.5,10.5,Africa,Jarawa (in Nigeria),1508
jarawara,24,jwr,jaa,-7.5,-65.5,South America,Jarawara,691
javanese,90,jav,jav,-7,111,Papunesia,Javanese,1896
jebero,116,jeb,jeb,-5.416666667,-76.5,South America,Jebero,2153
jeh,63,jeh,jeh,15.16666667,107.8333333,Eurasia,Jeh,1355
jeli,292,jel,,9.5,-5.666666667,Africa,Jeli,1308
jemez,215,jem,tow,35.83333333,-107,North America,Jemez,340
jiarong,390,jia,jya,31.5,102,Eurasia,Jiarong,1396
jibbali,10,jib,shv,17.5,55,Eurasia,Jibbali,121
jingpho,377,jng,kac,25.41666667,97,Eurasia,Jingpho,2154
jino,380,jin,"jiu, jiy",22,101,Eurasia,Jino,1073
jivaro,197,jiv,jiv,-2.5,-78,South America,Jivaro,2095
johari,389,joh,,30.66666667,80,,Johari,1032
jomang,281,jom,tlo,10.58333333,30.5,Africa,Jomang,1241
juang,66,jun,jun,21.33333333,86,Eurasia,Juang,341
juat,559,jua,,-31,115.5,,Juat,692
jugli,388,jug,nst,27.5,96.33333333,Eurasia,Jugli,1074
juhoan,212,juh,ktz,-19,21,Africa,Ju|'hoan,2450
jukun,283,juk,jbu,6.916666667,10.41666667,Africa,Jukun,1756
juma,457,jum,jua,-7.5,-64,South America,Jí_ma,627
jurchen,21,jur,juc,47,130,Eurasia,Jurchen,985
jurmodo,305,jmo,bex,6,30,Africa,Jur Mí_dí_,1932
juruna,457,jrn,jur,-5,-54.5,South America,Juruna,122
kabardian,325,kab,kbd,43.5,43.5,Eurasia,Kabardian,2219
kabatei,183,kbt,xkp,36.75,49.41666667,Eurasia,Kabatei,1118
kabiye,290,kby,kbp,9.666666667,1.166666667,Africa,Kabiyí©,1174
kabui,386,kbi,nkf,24.83333333,94,Eurasia,Kabui,123
kabyle,4,kbl,kab,36.5,5,Africa,Kabyle,1757
kachari,383,kac,xac,26.5,91,Eurasia,Kachari,1357
kadazan,518,kdz,kzj,5.916666667,117.1666667,Papunesia,Kadazan,1509
kadiweu,542,kdw,kbc,-20,-57,South America,Kadiwí©u,1175
kadugli,198,kad,xtc,11,29.66666667,Africa,Kadugli,1685
kagoma,283,kgm,kdm,9.25,8.166666667,Africa,Kagoma,124
kagulu,274,kgr,kki,-6.333333333,37,Africa,Kagulu,1309
kaian,235,kai,kct,-4.083333333,144.75,Papunesia,Kaian,342
kaili,526,kli,lew,-1.166666667,120,Papunesia,Kaili,544
kaingang,238,kng,kgp,-26,-52,South America,Kaingang,2042
kairiru,87,krr,kxa,-3.333333333,143.5833333,Papunesia,Kairiru,1933
kaiwa,457,kaw,kgk,-23,-55,South America,Kaiwíç,545
kakiae,155,kae,tbd,-8,145.8333333,Papunesia,Kaki Ae,1358
kalalagawya,560,kly,mwp,-10.11666667,142.1166667,Papunesia,Kala Lagaw Ya,1397
kalam,437,klq,kmh,-5.25,144.5833333,Papunesia,Kalam,1601
kalami,182,kal,gwc,35.5,72.5,Eurasia,Kalami,1456
kalanga,274,klz,kck,-20.5,27.5,Africa,Kalanga,343
kalapuya,199,klp,kyl,44.5,-123,North America,Kalapuya,693
kalasha,182,klh,kls,35,72,Eurasia,Kalasha,344
kalispel,362,kls,fla,48,-117,North America,Kalispel,1758
kalkatungu,560,kgu,ktg,-21,139.5,Australia,Kalkatungu,2175
kalmyk,20,kmk,xal,44,83,Eurasia,Kalmyk,2043
kalmykissykkul,20,kiq,xal,42.41666667,78.33333333,Eurasia,Kalmyk (Issyk-Kul),125
kaluli,111,kll,bco,-6.5,142.75,Papunesia,Kaluli,1075
kamaiura,457,kma,kay,-12.08333333,-52.58333333,South America,Kamaiuríç,2024
kamanokafe,430,kak,kbq,-6.25,145.6666667,Papunesia,Kamano-Kafe,694
kamasau,425,kmz,kms,-3.916666667,143.6666667,Papunesia,Kamasau,2657
kamass,463,kms,xas,52,92,Eurasia,Kamass,1642
kamba,274,kba,kam,-1.5,38,Africa,Kamba,1398
kambera,75,kam,xbr,-9.833333333,120.1666667,Papunesia,Kambera,2096
kambot,232,kbo,kbx,-4.25,144.1333333,Papunesia,Kambot,1033
kami,274,kmi,kcu,-6.75,38,Africa,Kami,695
kamoro,447,kmr,kgq,-4.333333333,136,Papunesia,Kamoro,1176
kamu,54,kmw,xmu,-13.58333333,130.8333333,Australia,Kamu,1119
kamzhanglu,404,kzh,doc,26,108.5,Eurasia,Kam (Zhanglu),1242
kana,293,kan,ogo,4.75,7.416666667,Africa,Kana,2124
kanakuru,6,knk,kna,10,12,Africa,Kanakuru,2220
kanashi,389,xns,xns,32.08333333,77.25,Eurasia,Kanashi,2619
kanembu,309,kbu,kbl,14,15,Africa,Kanembu,1034
kangiryuarmiut,158,kgt,ikt,68.33333333,-133.75,North America,Kangiryuarmiut,345
kanjobaleastern,250,kea,kjb,15.33333333,-91.66666667,North America,Kanjobal (Eastern),346
kanjobalwestern,250,kwe,knj,15.83333333,-91.83333333,North America,Kanjobal (Western),803
kankanay,514,kky,kne,16.75,120.5833333,Papunesia,Kankanay,347
kannada,149,knd,kan,14,76,Eurasia,Kannada,2527
kanoe,200,kno,,-13.25,-61,South America,KanoíÈ,2666
kanumbadi,255,knb,khd,-8.833333333,140.75,Papunesia,Kanum (Bí_di),1035
kanumngkalmpw,255,knp,kcd,-8.666666667,140.9166667,Papunesia,Kanum (Ngkí¢lmpw),804
kanuri,309,knr,knc,12,13,Africa,Kanuri,2500
kanyok,274,kyo,kny,-7.333333333,23.58333333,Africa,Kanyok,348
kapampangan,515,kpm,pam,15.33333333,120.5,Papunesia,Kapampangan,1869
kapingamarangi,87,kpn,kpg,1.05,154.75,Papunesia,Kapingamarangi,349
karachaybalkar,19,krc,krc,43.5,42,Eurasia,Karachay-Balkar,2044
karadjeri,559,krj,gbd,-19,122,Australia,Karadjeri,1076
karaim,19,krm,kdr,54.66666667,24.91666667,Eurasia,Karaim,697
karaincentralafricanrepublic,305,kar,kah,10,23,Africa,Kara (in Central African Republic),1643
karainpapuanewguinea,87,kra,leu,-2.833333333,151.1166667,Papunesia,Kara (in Papua New Guinea),696
karaja,243,jva,kpj,-10,-50.33333333,South America,Karajíç,1722
karakalpak,19,kkp,kaa,43,60,Eurasia,Karakalpak,1870
karanga,274,krg,sna,-20,31,Africa,Karanga,350
karankawa,201,kkw,zkk,28,-97,North America,Karankawa,1077
karao,514,kao,kyj,16.5,120.8333333,Papunesia,Karao,126
karata,269,krt,kpt,42.58333333,46.33333333,Eurasia,Karata,698
karelian,465,krl,krl,64,32,Eurasia,Karelian,880
karenbwe,378,kbw,bwe,19.5,97,Eurasia,Karen (Bwe),1802
karenpwo,378,kpw,"kjp, pwo",13,99.16666667,Eurasia,Karen (Pwo),1457
karensgaw,378,ksg,ksw,18,97,Eurasia,Karen (Sgaw),2136
kariera,559,vka,vka,-20.5,118.5,Australia,Kariera,2563
karimojong,320,kmj,kdj,3,34.16666667,Africa,Karimojong,1976
karipunadoguapore,342,kdg,kuq,-10,-65,South America,Karipuna do Guapore,351
karitiana,458,kna,ktn,-9.5,-64,South America,Karitií¢na,928
karkaryuri,203,kyr,yuj,-3.75,141.0833333,Papunesia,Karkar-Yuri,1243
karoarara,456,kaa,arr,-10.33333333,-62,South America,Karí_ (Aríçra),1759
karok,204,krk,kyh,41.66666667,-123,North America,Karok,2435
kasem,290,ksm,xsm,11.25,-1.25,Africa,Kasem,699
kashaya,176,ksh,kju,38.66666667,-123.3333333,North America,Kashaya,881
kashmiri,182,kas,kas,34,76,Eurasia,Kashmiri,2346
kashubian,185,ksu,csb,54,18,Eurasia,Kashubian,127
kasim,290,xsm,xsm,11,-1.333333333,Africa,Kíæsim,2585
kasong,64,ksn,,12.75,102.1166667,Eurasia,Kasong,2608
katakolok,330,kkl,bqy,-8.25,115.1666667,Papunesia,Kata Kolok,352
katcha,198,ktc,xtc,10.83333333,29.66666667,Africa,Katcha,1244
kate,434,kat,kmg,-6.5,147.75,Papunesia,Kí¢te,1458
katiinafghanistan,541,ktz,bsh,35.5,70,Eurasia,Kati (in Afghanistan),353
katiinwestpapuaindonesia,441,kti,yon,-5.75,140.9166667,Papunesia,"Kati (in West Papua, Indonesia)",1036
katla,284,ktl,kcr,11.83333333,29.33333333,Africa,Katla,1723
kato,262,kto,ktw,39.66666667,-123.6666667,North America,Kato,354
katu,72,ktu,"ktv, kuf",15.83333333,107.5833333,Eurasia,Katu,986
kaulong,87,kau,pss,-6.166666667,149.6666667,Papunesia,Kaulong,1686
kaure,207,kaj,bpp,-3.416666667,140.0833333,Papunesia,Kaure,700
kaurna,558,kaq,,-34.25,138.5,Australia,Kaurna,355
kawaiisu,477,kws,xaw,36,-117.5,North America,Kawaiisu,2112
kayabi,457,kyz,kyz,-11,-55.5,South America,Kayabí_,2665
kayahlieastern,378,kyl,eky,19,97.5,Eurasia,Kayah Li (Eastern),2376
kayanbaram,518,kbr,kys,3.5,114.5,Papunesia,Kayan (Baram),129
kayapo,238,kyp,txu,-9,-52,South America,Kayapí_,1177
kayardild,52,kay,gyd,-17.05,139.5,Australia,Kayardild,2501
kaytej,558,kyt,gbb,-21,134,Australia,Kaytej,2564
kayuagung,88,kag,kge,-3.166666667,104.9166667,Papunesia,Kayu Agung,130
kazakh,19,kaz,kaz,50,70,Eurasia,Kazakh,1037
kedang,75,ked,ksx,-8.25,123.75,Papunesia,Kedang,1245
kefa,9,kef,kbr,7.25,36.25,Africa,Kefa,1310
kei,75,kei,kei,-5.833333333,132.9166667,Papunesia,Kei,987
kekchi,250,kek,kek,16,-89.83333333,North America,K'ekchí_,1356
kelaapoze,87,kap,kcl,-7.416666667,147.0833333,Papunesia,Kela (Apoze),546
kelabit,518,klt,kzi,3.666666667,115.4166667,Papunesia,Kelabit,132
kele,87,kel,sbc,-2.083333333,147.0833333,Papunesia,Kele,1510
kemant,7,kem,ahg,12.66666667,37.41666667,Africa,Kemant,1760
kemtuik,323,kmt,kmt,-2.666666667,140.3333333,Papunesia,Kemtuik,701
kenga,305,ken,kyq,12,18,Africa,Kenga,1552
kenyahumalung,518,keu,,3,115.8333333,,Kenyah (Uma' Lung),356
kenyang,274,kyg,ken,5.666666667,9.5,Africa,Kenyang,357
kenyansignlanguage,330,ksl,xki,0,38,Africa,Kenyan Sign Language,133
keo,75,keo,xxk,-8.833333333,121.25,Papunesia,Ke'o,131
kera,2,ker,ker,9.833333333,15.08333333,Africa,Kera,2369
kerek,139,krq,krk,62.25,175,Eurasia,Kerek,805
keresansantaana,209,ksa,kee,35.41666667,-106.6666667,North America,Keresan (Santa Ana),1511
ket,503,ket,ket,64,87,Eurasia,Ket,2458
ketapang,519,ktp,zlm,-1.866666667,110,Eurasia,Ketapang,134
kete,274,kte,kcv,-7,22.83333333,Africa,Kete,1359
ketengban,446,ktn,xte,-4.5,140.5,Papunesia,Ketengban,702
kewa,433,kew,"kew, kjs",-6.5,143.8333333,Papunesia,Kewa,2454
khakas,19,khk,kjh,53,90,Eurasia,Khakas,1399
khalaj,19,khl,klj,35,50,Eurasia,Khalaj,1897
khaling,512,khg,klr,27.5,86.66666667,Eurasia,Khaling,1834
khalkha,20,kha,khk,47,105,Eurasia,Khalkha,2528
kham,512,kmh,kgj,28.5,82.75,Eurasia,Kham,2060
khamdege,389,khd,khg,31.83333333,98.58333333,Eurasia,Kham (Dege),2618
khamtibetannangchen,389,knz,khg,32.5,96.5,Eurasia,Kham (Tibetan) (Nangchen),2617
khanty,464,kty,kca,65,65,Eurasia,Khanty,2284
kharia,66,khr,khr,22.5,84.33333333,Eurasia,Kharia,1602
khasi,71,khs,kha,25.5,92,Eurasia,Khasi,2446
khinalug,267,khi,kjj,41.16666667,48.08333333,Eurasia,Khinalug,1078
khmer,70,khm,khm,12.5,105,Eurasia,Khmer,2447
khmu,69,kmu,kjg,21,102,Eurasia,Khmu',2397
khoekhoe,210,kho,naq,-25.5,18,Africa,Khoekhoe,2493
khowar,182,khw,khw,36,72,Eurasia,Khowar,1178
khumi,386,khu,cnk,21.91666667,92.41666667,Eurasia,Khumi,358
khun,404,khn,kkh,21,100,Eurasia,Khí_n,2628
khvarshi,269,khv,khv,42.25,46.16666667,Eurasia,Khvarshi,135
kickapoo,17,kic,kic,42.25,-84,North America,Kickapoo,929
kikuyu,274,kik,kik,-0.75,36.75,Africa,Kikuyu,1898
kilba,5,klb,hbb,10.33333333,13.16666667,Africa,Kilba,359
kilivila,87,klv,kij,-8.5,151.0833333,Papunesia,Kilivila,2451
kiliwa,170,klw,klb,31.33333333,-115.6666667,North America,Kiliwa,1644
kiluba,274,kil,lub,-8,26,Africa,Kiluba,1311
